rule_id,rule_text;
R1,grant create on relationships (*) source (:Staff) target (:Staff) to Hospital_Admin;
R2,grant addproperty{approved} on relationships (u:HAS_INSURANCE) source (:Patient) target (:Insurance) to Hospital_Admin;
R3,deny create on relationships (o:HAS_INSURANCE) source (:Patient) target (:Insurance) to Nurse;
R4,deny traverse on relationships (r:OWNS) source (:Staff) target (:ClinicalProtocol) to Nurse;
R5,deny modifyproperty{dosage} on relationships (t:PRESCRIBES) source (:Staff) target (:MedicalDocument) to Nurse;
R6,grant addproperty{*} on relationships (t:TREATS) source (:Staff) target (:Patient) to Hospital_Admin;
R7,grant delete on relationships (t:TREATS) source (:Staff) target (:Patient) to Hospital_Admin;
R8,grant traverse on relationships (pr:PRESCRIBES) source (:Staff) target (:MedicalDocument) to Nurse;
R9,grant read{prescribtion_date} on relationships (pr:PRESCRIBES) source (:Staff) target (:MedicalDocument) to Nurse;
